bills_M7_bad
"1. Critical Infrastructure Protection
2. Cybersecurity
"1. Military
2. Corridor
3. Transportation"
"1. Military
2. Officers
3. Association"
"1. Tax-exempt grants
2. Collegiate housing
3. Social clubs"
"1. Postal Service
2. Facility
3. Designation"
"1. Commercial Space Transportation Liability
2. Insurance
3. Financial Responsibility"
"1. Clinical Social Workers
2. Act of 2009
3. Equity"
"1. Social Security
2. Preservation Act
3. Investment"
"1. Property Designation
2. Historical Marker
3. Federal Funds Prohibition"
"1. Export Promotion
2. Small Business
3. Coordination"
"1. Polar Bear
2. Conservation
3. Act"
"1. Tariff Schedule
2. Yttrium Oxide
3. Europium Oxide"
"1. Big Cats
2. Public Safety Protection Act
3. Wildlife Conservation"
"1. Generic Drugs Act of 2009
2. Patent Infringement
3. Federal Trade Commission"
"1. NLRB Reform Act
2. NLRB Membership
3. Judicial Review Procedures"
"1. Children's Hospital
2. GME Support
3. Reauthorization Act"
"1. Muslim Brotherhood
2. Terrorist Designation
3. Act of 2015"
"1. Medicare Data
2. Transparency
3. Accountability"
"1. Student Loans
2. Repayment Plans
3. Public Service Loan Forgiveness"
"1. Pedestrian Safety
2. Electric Vehicles
3. Alert Sound"
"1. Wounded Warriors
2. Federal Leave Act
3. Disability Treatment"
"1. American Jobs Act
2. Employment Information
3. Layoff Percentage"
"1. Wildlife Trafficking
2. Enforcement Act
3. Endangered Species"
"1. Rule Act
2. Delay
3. Amendment"
"1. GI Bill
2. Post-9/11 GI Bill
3. Promotion"
"1. Surface Transportation
2. Taxation
3. Equity Act"
"1. Teachers
2. Retention
3. Programs"
"1. American Jobs
2. American Forests
3. H-2B Workers"
"1. IRS Employees
2. Tax Delinquency
3. Performance Awards"
"1. Sex Offenders
2. Registration
3. Notification"
"1. Medical Residency
2. Education Grants
3. Public Health"
"1. Postal Service
2. Facility
3. Building"
"1. Tax Code Amendment
2. Corporate Tax Rate
3. Inflation Adjustment"
"1. Railway Labor Act
2. National Mediation Board
3. Labor Organization"
"1. 529 plans
2. Tax code
3. Education"
"1. Human Rights
2. International Law
3. Immigration"
"1. Health Care
2. Professionals
3. Protection"
"1. HUDZone
2. Census Tract
3. Tax Credit"
"1. Trichloroethylene
2. Health Advisory
3. Vapor Intrusion"
"1. Voting Opportunity
2. Technology Enhancement
3. Election Laws"
"1. Accountability
2. Reform
3. Budget"
"1. Tariff Schedule
2. Duty Suspension
3. Trifloxystrobin, Propiconazole"
"1. SAFE Lending Act of 2016
2. Electronic Fund Transfer Act (EFTA)
3. Truth in Lending Act ("
"1. Health Prizes
2. Innovation
3. Savings"
"1. Military Capabilities
2. Military Readiness
3. Military Support"
"1. Freedom of Information
2. Presidential Tax Returns
3. Internal Revenue Code"
"1. Tariff Schedule
2. Synthetic Staple Fibers
3. Duty Suspension"
"1. Congressional Gold Medal
2. Muhammad Ali
3. Recognition"
"1. Servicemember Foreclosure Protections
2. Extension Act of 2015
3. Real Property Ownership"
"1. Military Retired Pay
2. Veterans Disability Compensation
3. Concurrent Receipt"
"1. Pilot program
2. Indian tribe relations
3. Federal government management"
"1. Commodity Exchange Act
2. Energy Commodities
3. Speculation Prevention"
"1. Social Security
2. Amendment
3. Protection"
"1. Clean Water
2. Federalism
3. Water Quality Standards"
"1. Amends
2. Harmonized
3. Tariff"
"1. Emergency Funding
2. Hurricane Recovery
3. Temporary Housing"
"1. Contracting
2. Fraud
3. Taxes"
"1. Job Preservation
2. Economic Certainty
3. Tax Reform"
"1. Infrastructure
2. Habitat Conservation
3. Loans"
"1. Medicare
2. Rural Health
3. Physician Fees"
"1. Firefighter
2. Act
3. Fairness"
"1. Tax-exempt financing
2. Government buildings
3. Internal Revenue Code"
"1. Breast cancer
2. Young women
3. Research"
"1. Black Lung Benefits
2. Survivors Equity Act
3. Amendments"
"1. Medical Residency
2. Education
3. Funding"
"1. Violence Against Women Reauthorization Act of 2012
2. Domestic Violence
3. Sexual Assault"
"1. Prescription Drug
2. Health Improvement
3. Medicare Act"
"1. STEM Education
2. Global Economy
3. Capacity Building"
"1. Wage Theft Prevention
2. Community Partnership
3. Labor Laws"
"1. Land Conveyance
2. Public Access
3. Appraisal Costs"
"1. Homeowners Insurance
2. Assistance Act
3. Tax Credit"
"1. Rapid Innovation
2. Fund Enhancement
3. DOD Coordination"
"1. Head Start
2. Water Pollution
3. Child Care"
"1. Engineering Biology
2. Research and Development
3. National Program"
"1. Energy
2. Environment
3. Land Use"
"1. Veterans Small Business Verification Act
2. Servicemembers Civil Relief Act
3. Outreach Activities for Veterans"
"1. Superfund
2. Polluter Pays Act
3. Environmental Tax"
"1. Federal Land Access Act
2. Pipeline Rights-of-Way
3. National Park System"
"1. Harriet Tubman
2. Currency
3. Tribute Act"
"1. Food Exports
2. Equine Parts
3. Animal Drug"
"1. Vessel speed
2. Whale protection
3. Regulations"
"1. Alcohol Testing
2. Clearinghouse
3. Compliance"
"1. Military Construction
2. Veterans Affairs
3. Related Agencies"
"1. TPS Reform Act
2. Immigration
3. Environmental Disaster"
"1. Public Buildings Reform
2. Savings Act of 2016
3. GSA Procedures"
"1. Bankruptcy Law
2. Employee Benefits
3. Retirement Plans"
"1. Healthy Workforce Act
2. Wellness Program
3. Tax Credit"
"1. Tariff Schedule
2. Synthetic Staple Fibers
3. Duty Suspension"
"1. Pay Stub Disclosure Act
2. Fair Labor Standards Act
3. Employer Records"
"1. Bed Bugs
2. Inspections
3. Grants"
"1. Veterans
2. Employment
3. Promotion"
"1. Community Forest
2. National Forest System
3. Secure Rural Schools"
"1. Cyber Privacy
2. Fortification Act
3. Security Breach"
"1. Land Conservation
2. Water Conservation
3. Funding Act"
"1. Campaign Finance
2. Lobbying
3. Election Law"
"1. Human Rights
2. Sanctions
3. Corruption"
"1. Rural Spectrum
2. Accessibility Act
3. Wireless Carriers"
"1. EPA's Language on Agriculture
2. Farm Act of 2013
3. USDA's Review Process"
"1. Class Size Reduction
2. Teacher Quality
3. Education Funding"
"1. Immunosuppressive Drug Coverage
2. Kidney Transplant Patients
3. Medicare Part B Enrollment"
"1. Accountability
2. Veterans Act
3. Health and Safety"
"1. Clean Water Act
2. Chemical Storage Facility
3. Oversight and Inspection"
"1. Prairies Act
2. Crop Insurance
3. Disaster Assistance"
"1. Criminal Alien Accountability Act
2. Immigration and Nationality Act
3. Reentry as removed aliens"
"1. Uterine Fibroids Research
2. Education and Information
3. Treatment Options"
"1. Civil Registration
2. Legal Frameworks
3. Women's Rights"
"1. Fair Treatment
2. Experienced Pilots
3. Aviation Safety"
"1. Rewards Program
2. Transnational Crime
3. International Criminal Tribunals"
"1. Adaptive Assessments
2. College and Career Readiness
3. Alternative Accountability Model"
"1. 2-1-1 Act of 2009
2. Key Standards for 2-1-1 Centers
3. Human Service"
"1. Tariff Schedule
2. Camel Hair
3. Duty Suspension"
"1. Totalization Agreements
2. Social Security Act
3. Eligibility Requirements"
"1. Next Generation Bomber
2. Nuclear Posture Review
3. START Treaty"
"1. Civics Education
2. English Development
3. Immigrant Integration"
"1. Child Protection Act
2. Pornography
3. Sex Trafficking"
"1. Needle Disposal
2. Medicare Coverage
3. FDA Approval"
"1. Energy Tax Credit
2. Small Business Tax Credit
3. Low-Income Home Energy Assistance"
"1. Second Amendment
2. National Parks
3. Wildlife Refuges"
"1. Maritime Administration
2. Sexual Harassment and Assault Prevention
3. Polar Icebreaker Fleet Recapitalization"
"1. Electronic Duck Stamp
2. Extension Act
3. Pilot Program"
"1. Castle Nugent
2. National Historic Site
3. Agriculture"
"1. Psoriasis
2. Psoriatic Arthritis
3. Research"
"1. St. Croix River Crossing
2. Authorization Act
3. Bridge Construction"
"1. Circuit Court of Appeals
2. Restructuring and Modernization Act
3. Judicial Code Amendment"
"1. Promotion
2. Expansion
3. S Corporation"
"1. Social Security
2. Safety Dividend
3. Disbursement"
"1. Tariff Schedule
2. Sulfur Black
3. Duty Suspension"
"1. Propane Inventory
2. Propane Emergency Response
3. Propane Storage Facilities"
"1. Security Clearance
2. Classified Information
3. Gross Negligence"
"1. Secure Rural Schools
2. Community Self-Determination
3. Reauthorization Act"
"1. Legal Accountability
2. Foreign Manufacturers
3. Registered Agent"
"1. Cyber Ranges
2. Cloud-based Training
3. Cyber Matters"
"1. Education Data
2. Student Outcomes
3. Privacy and Security"
"1. Alaska
2. Natural Gas
3. Pipeline"
"1. Chinese Language
2. Education
3. Global Competitiveness"
"1. Digital Security
2. Commission Act
3. National Security"
"1. Renewable Energy Development
2. Geothermal, Solar, Wind Energy
3. Federal Land Management"
"1. Paycheck Fairness Act
2. Equal Pay Act
3. Wage Discrimination"
"1. Gang Elimination Act
2. National Threat Drug Gangs
3. Attorney General Report"
"1. American Drivers Act
2. Transportation Alternatives
3. Pedestrian and Bicycle Projects"
"1. Health Care
2. Price Transparency
3. Promotion Act"
"1. Nurse Promotion Act
2. Home Healthcare Training
3. Nursing Workforce Development"
"1. Water Infrastructure Investment
2. Clean Water Act
3. Innovative Financing"
"Driver Fatigue
Prevention Act
Fair Labor Standards Act"
"1. Accessibility
2. Wellness
3. Training"
"1. Wall Street Accountability
2. Sustainable Funding Act
3. Commodity Futures Trading Commission"
"1. Foreign Lobbying
2. Ethics in Politics
3. Campaign Finance"
"1. ERISA
2. Retirement
3. Plans"
"1. Tax Credit
2. Research Expenses
3. Employee Health Care"
"1. Foreign Evidence
2. Request Efficiency
3. Act of 2009"
"1. FDA
2. Accountability
3. Public Safety"
"1. Procurements Act
2. Federal Employees
3. Contractors"
"1. Reclaiming Liberty
2. Individual Tax
3. Health Care Coverage"
"1. Insurance
2. Motor Vehicles
3. Liability"
"1. Charitable Contributions
2. Act of 2015
3. IRS Regulations"
"1. Schools
2. Bonds
3. Construction"
"1. Unemployment Benefits
2. Health Insurance
3. National Flood Insurance"
"1. Syria
2. Civilian Protection
3. Sanctions"
"1. FAA Modernization
2. Small Business Concerns
3. Disadvantaged Business Enterprises"
"1. Dr. Shakil Afridi
2. Prison
3. Treason"
"1. Geologic Mapping
2. Reauthorization Act
3. National Geologic Mapping Program"
"1. Tariff Schedule
2. Women's Footwear
3. Duty Suspension"
"1. Veterans
2. Suicide
3. Study"
"1. National Cybersecurity Protection Act of 2014
2. Cybersecurity and Communications Integration Center
3. Data Breach Notification Policies"
"1. Bill
2. Benefits
3. Employment"
"1. Diagnostics
2. Drug Development
3. Regulation"
"1. National Consumer Cooperative Bank Act
2. Amendments of 2008
3. Community Development Financial Institutions"
"1. Nicaraguan
2. Tariff
3. Extension"
"1. Energy Policy
2. Diesel Emissions
3. Grants and Loans"
"1. Renewable Energy Tax Credit
2. U.S. Territories
3. Military Bases"
"1. Records Management
2. Electronic Messaging
3. Presidential Records"
"1. Model T Ford
2. Automobile
3. Commemorative Coin"
"1. PTSD
2. Mental Health
3. Military Service"
"1. Tariff Schedule
2. Suspension
3. Duty"
"1. Firearms
2. Definition
3. Federal Code"
"1. Transparency
2. Judgment Payments
3. Federal Agencies"
"1. Build America Bonds
2. Transportation
3. Highways"
"1. Land Management
2. Violations
3. Fines"
"1. Health Care Services Commission Act
2. Independent Health Record Trust Act of 2008
3. National Committee for Vital and Health Statistics"
"1. SSI
2. Funeral
3. Burial"
"1. Tariff Schedule
2. Mechanics' Gloves
3. Duty Suspension"
"1. Tax Credit
2. Military Installation
3. Community Development"
"1. Veterans' Benefits
2. Pershing Hall
3. World War I"
"1. Navy Ship Logs
2. Vietnam Era
3. Accountability Act"
"1. Family
2. Friendly
3. Employers"
"1. Tax Deductions
2. Damages Act
3. Internal Revenue Code"
"1. Reclamation
2. Wastewater
3. Irrigation"
"1. Unemployment Insurance
2. Consumer Reporting
3. Informed Consent"
"1. Mortgage
2. Cancellation
3. Relief"
"1. Medal
2. La Follette
3. Progressive"
"1. Neonatal Drug Exclusivity
2. New Therapies
3. Patent Extension"
"1. Montgomery GI Bill
2. Science, Technology, Engineering, Math
3. Lump-sum payment"
"1. Submerged lands
2. Northern Mariana Islands
3. Coastlines"
"1. ECOBAG Act
2. Tax Credit
3. Recycling Program"
"1. Cybersecurity
2. Workforce
3. Assessment"
"1. Medicare
2. Protection
3. Act"
"1. Federal Land Act
2. Reauthorization
3. Public Land Laws"
"1. Education
2. Training
3. Teachers"
"1. Motocross
2. Tribal Land
3. Gaming"
"Tax Cut
Payroll Tax Holiday
Self-Employed Taxes"
"1. Tariff Schedule
2. Electric Motors
3. Infrared Remote Control"
"1. SBA
2. Surety Bond
3. Amendment"
"1. Tax Deduction
2. Mortgage Insurance
3. Internal Revenue Code"
"1. Endangered Species Act
2. Captive-bred wildlife
3. Reintroduction to range countries"
"1. Tariff Schedule
2. Vinylidene Chloride
3. Copolymer"
"1. Sugar
2. Agriculture
3. Reform"
"1. Renewable Energy
2. Hydroelectric Energy
3. Alaska's Future"
"1. Vehicle Damage
2. Disclosure
3. Regulation"
"1. Bill
2. Amend
3. Code"
"1. Fountainhead Act
2. Property Transfer
3. Trust for Tribe"
"1. Influenza Vaccination
2. Schools
3. Children"
"1. Proxy Voting
2. Transparency Act
3. Compensation"
"1. Budgeting Act
2. Dynamic Scoring
3. Revenue Estimates"
"1. Veterans
2. Smile
3. Act"
"1. Health Care
2. Disabilities
3. Accessibility"
"1. Energy Production
2. Project Delivery
3. Environmental Impact"
"1. EPA Stationary Source Regulations
2. Carbon Dioxide and Methane Regulation
3. Motor Vehicle Emission Standards"
"1. Glaucoma
2. Screening
3. Health Centers"
"1. Omnibus Public Land Management Act
2. Paterson Great Falls National Historical Park
3. Hinchliffe Stadium"
"1. Polar bear
2. Sport hunt
3. Importation"
"1. CHIMP Act Amendments
2. Lifetime Care of Chimpanzees
3. Funding and Efficiency"
"1. Payment
2. Credentials
3. Education"
"1. Alien detention
2. Habeas corpus
3. Military commissions"
"1. Men's Health
2. Health Care Act
3. Public Health"
"1. Postal Services
2. Innovation
3. Alcoholic Beverages"
"1. Energy Action Plan
2. Insular Areas
3. Federal Immigration Law"
"1. Equestrian Helmet Safety Act
2. ASTM International Standards
3. Consumer Product Safety Commission"
"1. Law Enforcement
2. Act
3. Amendment"
"1. Land Exchange
2. National Forest System
3. Appraisal"
"1. Tariff Schedule
2. Economizers
3. Boilers"
"1. Bill Titles
2. Appropriations
3. Lawsuits"
"1. Water Rights
2. Settlement Act
3. Trust Fund Management"
"1. Early Warning Reporting System
2. Motor Vehicle Defects
3. Public Accessibility to Information"
"1. Homeland Security
2. Customs and Border Protection
3. Transportation Security"
"1. Electronic Sales of Livestock
2. Marketing Agencies
3. Payment Methods"
"1. Education
2. Autism
3. Task Force"
"1. Combat Medevac Badge
2. Helicopter Medical Evacuation
3. Combat Service"
"1. Small Business
2. Refiner
3. Relief Act"
"1. Pension Benefit Guaranty Corporation
2. Health Care Tax Credit
3. Eligibility Extension"
"1. Health Care
2. Indians
3. Amendment"
"1. Tariff Schedule
2. Altuglas Beads
3. Duty Suspension"
"1. Social Security
2. SSI
3. Railroad Retirement"
"1. Medical Decision
2. Incentive Act
3. Best Practices"
"1. Circuit Review Extension Act
2. Whistleblower Protection Enhancement Act
3. Merit Systems Protection Board"
"1. Medicare Act
2. Medical Malpractice
3. Malpractice Reform"
"1. Water Rights
2. Settlement Act
3. Hualapai Tribe"
"1. Crow Tribe Land
2. Restoration Act
3. Loan Program"
"1. Appropriations
2. Agriculture
3. Food and Drug Administration"
"1. Carbon Monoxide
2. Prevention Act
3. Safety Commission"
"1. Global Warming
2. Pollution Reduction
3. Clean Air Act"
"1. Energy Assistance
2. Low-Income
3. Amendments"
"1. Hydropower
2. Energy
3. Environment"
"1. Tax Credit
2. Compliance Act
3. Cosmetology"
"1. Internet Tax
2. Freedom Act
3. E-commerce Tax"
"1. Immigration
2. Criminal Justice
3. State Assistance"
"1. Commodity Futures Trading Commission (CFTC)
2. Foreign Board of Trade
3. Energy Commodities"
"1. FHA Loan
2. Mortgage Insurance
3. Housing"
"1. Cybersecurity Act of 2010
2. Information Security
3. Critical Infrastructure Information Systems"
"1. Disabled Veteran Caregiver Housing
2. Assistance Act of 2011
3. Specially Adapted Housing Assistance"
"1. Spokane Tribe
2. Grand Coulee Dam
3. Equitable Compensation"
"1. Carbon Capture
2. Storage Research
3. Energy Policy"
"1. Medicare
2. Prescription Drugs
3. Negotiation"
"1. Lois Lerner
2. E-Mails
3. Recovery"
"1. Voter Registration
2. Automatic Registration
3. Election Laws"
"1. Military Selective Service Act
2. Records
3. Transfers"
"1. Climate Solutions Commission
2. Greenhouse Gas Emissions
3. Energy Efficiency"
"1. Bill Act
2. Publication
3. Timeframe"
"1. Net Worth Certificate Program
2. FDIC Chairman
3. Banks in Danger"
"1. Budget
2. Accounting
3. Transparency"
"1. Medicare
2. Protection
3. Act"
"1. National Ocean Exploration Program
2. Undersea Research Program
3. Interagency Planning and Coordination"
"1. Webcaster Settlement Act
2. Copyright Royalty Judges
3. Sound Recordings"
"1. Government Transformation Act
2. Commission on Government Transformation
3. Federal Agencies"
"1. Exemption Act
2. Health Insurance
3. Staff Designation"
"1. American Recovery and Reinvestment Act
2. State Fiscal Stabilization Fund
3. Education and Governmental Services"
"1. Veterans Health Care
2. Pay-for-Performance
3. Community-Based Outpatient Clinics"
"1. Holocaust Education
2. Grants
3. Education Act"
"1. Federal Advisory Committee Act Amendments of 2013
2. Appointments to Federal Agency Advisory Committees
3. Federal Eth"
"Flood Insurance
Rate Increase
Suspension Act"
"1. Zika
2. Authorization
3. Plan"
"1. Short Sales Act
2. Notification
3. Civil Action"
"1. Flight Courtesy Act
2. Mobile Communication Device
3. Domestic Passenger Aircraft"
"1. Refugee
2. Resettlement
3. Immigration"
"1. Airport Screening
2. Aviation Security
3. Homeland Security"
"1. Commercial Real Estate
2. Credit Guarantee Program
3. Oversight Board"
"1. Border Violence
2. Firearms Trafficking
3. Law Enforcement"
"1. Medicare
2. Rehabilitation
3. Therapy"
"1. Land Conveyance
2. National Forest
3. Public Purposes"
"1. HSA
2. Amendment
3. Medical Expenses"
"1. Payment Innovation
2. Bundled Payments
3. Integrated Care"
"1. Drug Trafficking
2. Controlled Substances
3. Chemicals"
"1. Amends
2. Harmonized
3. Tariff"
"1. Medical Efficiency
2. Physician Workforce Enhancement
3. Patient Access to Primary Care"
"1. Disaster Response
2. Housing Assistance
3. Mortgage Forbearance"
"1. Water Security
2. Grants
3. Vulnerability Assessments"
"1. Education Funding
2. Home Schooling
3. 529 Tuition Programs"
"1. Israel
2. Defense
3. Cooperation"
"1. SCAAP
2. Reauthorization
3. Act"
"1. Indian Employment
2. Training and Related Services
3. Consolidation Act"
"1. Korean War
2. Veterans
3. Recognition"
"1. Parental Bereavement Act
2. Family and Medical Leave Act
3. Federal Employees"
"1. Contraception
2. Women's Health
3. Military Health"
"1. Military
2. Home Protection
3. Act"
"1. National Gallery of Art
2. Bill
3. Protection"
"1. Bill
2. Repeal
3. CFPB"
"1. Veterans
2. Debt
3. Elimination"
"1. Amends
2. Harmonized
3. Tariff"
"1. Generic Drug Pricing
2. Fairness Act
3. Prescription Drug Benefit Program"
"1. Food Allergy
2. Anaphylaxis Management
3. School Safety"
"1. Tariff Schedule
2. Duty Suspension
3. Electronic Transmitter"
"1. Poison Center Support
2. Enhancement and Awareness Act
3. Poison Prevention"
"1. Education Act
2. Induction Programs
3. Professional Development"
"1. Small Business Innovation Protection Act
2. Intellectual Property Training
3. Small Business Development Centers"
"1. Law of 2015
2. Ignition Interlock Device
3. Driving Under Influence"
"1. Biobased Products
2. Renewable Energy
3. Rural Development"
"1. Amends
2. Provisions
3. Appalachian region"
"1. Greenhouse Gas Registry
2. Reporting Requirements
3. Data Collection"
"1. Measure
2. Survey
3. Land"
"1. Property
2. Forfeiture
3. Government"
"1. Military Pay
2. Appropriations
3. Government Shutdown"
"1. Social Security
2. Disability Insurance
3. Judicial Code"
"1. Energy
2. Security
3. Assurance"
"1. Roan Plateau
2. Oil and Gas Leasing
3. Environmental Protection"
"1. Veterans Affairs
2. Education
3. Science, Technology, Engineering, Math"
"1. Prudent Banking Act
2. Securities Firms
3. Affiliations"
"1. Generics
2. Medicare
3. Prescription Drugs"
"1. Veterans' Benefits
2. Hearing Loss
3. Military Occupational Specialties"
"1. Haitian Refugee Act
2. Child Status
3. Document Fraud"
"1. Fracturing
2. Responsibility
3. Chemicals"
"1. EHR
2. Medicare
3. Physicians"
"1. Fossil Creek
2. Wild and Scenic Rivers
3. National Parks"
"1. Interrogation
2. Recording
3. Guidelines"
"1. Regulatory Freeze Act
2. Federal Departments
3. New Rules"
"1. War Funding
2. Accountability Act
3. Iraq Reconstruction"
"1. Credit
2. Act
3. Exemptions"
"1. Electronic Commerce
2. Taxation
3. Physical Presence"
"1. Medicaid
2. Therapeutic Foster Care
3. Rehabilitation"
"1. Energy Training
2. Community College
3. Sustainable Energy"
"1. Hepatitis C
2. Prevention
3. Control"
"1. American Opportunity Tax Credit
2. Permanence and Consolidation Act
3. Federal Pell Grant"
"1. Security Cooperation Act of 2010
2. Defense Trade Cooperation Treaties
3. Naval Vessel Transfer Act of 201"
"1. Americans with Disabilities Act
2. Pool Accessibility
3. Public Accommodations"
"1. Secure Screening
2. TSA Access
3. Reporting"
"1. Health Insurance
2. Tax Credit
3. Medicaid"
"1. Tax
2. Parity
3. Act"
"1. Sexual Assault Prevention
2. Office Establishment
3. Military Department Assessment"
"1. Ticket Forgery
2. Inaugural Ceremony
3. Legal Consequences"
"1. Environmental Law
2. Grid Reliability
3. Emergency Orders"
"1. Americans with Disabilities Act
2. Pool Accessibility
3. Public Accommodations"
"1. Pension
2. Budget
3. Integrity"
"1. Juvenile Accountability
2. Bullying Prevention
3. Omnibus Crime Control"
"1. Federal Act
2. Coast Guard
3. Submerged Lands"
"1. Cold War Landmark Study
2. Cold War Advisory Committee
3. Cold War Interpretive Handbook"
"1. Internet Radio Equality Act
2. Copyright Royalty Judges
3. Digital Performance of Sound Recordings"
"1. Energy Policy Act
2. BLM Federal Permit Streamlining
3. Montana/Dakotas State Office"
"1. Tariff
2. Children's Footwear
3. Duty"
"1. Retirement
2. Police
3. Exemptions"
"1. Group Health Plan
2. Prosthetics
3. Parity Act"
"1. HIV Act of 2009
2. Medicaid
3. HIV Infected Individuals"
"1. Pipeline Modernization
2. Consumer Protection
3. Gas Leak Detection"
"1. Child Abuse
2. Mandatory Reporting
3. Education and Training"
"1. Great Lakes Restoration
2. Semipostal Stamp
3. Environmental Protection Agency"
"1. Rural Credit Act
2. Loan Guarantees
3. Business Development"
"1. Land Exchange Act
2. Sky Ranch Parcel
3. Public Land Management"
"1. ERISA
2. Pension
3. Fraud"
