text,target,title,date,check
"I do. Yesterday.  Seriously, Countess Ada of Lovelace gets the credit.  She first used it in the late 80s.  Her bike:  the spokeless wonder.   Jack Waters II DoD#1919",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"           Jim,  I hope you never drive (or ride) when:  you have been drinking  you have been taking prescription drugs you didn't get enough sleep the night before you are upset with your girlfriend you just didn't feel like your brain was talking to your body you think you are at laguna seca and want to break the lap record  ANY of the above situations have the potential for harm (read death) People make mistakesIf you have never endangered someone else by driving a vehicle in an unsafe manner, then go right ahead and bitch about Mr Infante misuse of a motor vehicle.  Otherwise, think about your OWN driving responsibilities.  I am sorry about the loss of your friends, but it could just as well been the idiot who bought a Volvo because he has problems falling asleep at the wheel.  Eric",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"""Silver Dream Racer"" -- Frustrated Brit club racer's buddy dies, leaving him a built-in-garage ""revolutionary, experimental"" 500 GP bike. Brit club racer uses machine to beat Bad American on Bad Japanese Factory Bike at British GP.  Filmed at Silverstone, I believe.  Pretty bad.  -----------------------------------------------------------------------------",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
<come along since the Mazda MPV.  The NISSAN MAXIMA engine paired with <the rest of the vehicle seems well engineered.  Only the price is,7,rec.autos,2023-10-14 18:59:16.722480,yes
" As long as a player is under contract to an organization, he is obligated to play only where that organization tells him to play or gives him permission to play. The Rangers are certainly within their rights to force Zubov and Andersson to report to Binghampton.   It certainly does reflect a lack of class on the part of the Ranger  organization, however. Is having Binghampton win the Calder Cup really more important to them than keeping their players happy? ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"      I suspect that splits such as these are the result of positioning.  An outfielder who is fast and gets a good jump would be expected to catch a lot of balls, preventing both singles and doubles, and also cut off more uncatchable balls, turinging doubles into singles.  However, a fielder who plays shallow will catch more short flies and fewer long flies; this means that he will allow fewer singles but more doubles.  Has anyone seen these players' positioning?  Do Butler and Felix play deep, and Lankford, Martinez, and Wilson shallow, or is this a park effect?  I thought Butler liked to play shallow. ",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"According to an article in the LA Times, Todd Worrell will not be ready to come off the DL list Friday.  It sounds like he has had another set back in his come back.  At present, he has stopped throwing the ball.  Supposedly, he had no velocity.  It doesn't sound like there is any particular time table at this point for when he will be back.",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
Sabres are Fuhr or know much   Two words: Grant Fuhr.,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
from Matthew Rush:  It's pretty obvious that Holik's hitting Barrasso was an accident. He was even apologizing for it immediately before the Penguins all jumped on him.,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"I, too, put a corbin seat on my Hawk.  I got the solo seat (which could carry a passenger for a short distance) and it is 100% better than the stock seat.  No longer does my voice squeak after the ride to work.",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
They could put on a Quebec-Montreal game.  Talk a bout areivalry! opps rivalry..  roland,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
" Are you sure?  Harley's disclaimer says, ""if you crash, we take care of the bike, you take care of you.""  If you were really responsible for the bike, did your insurance cover it? ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"Like Clinton and Reno, I accept full responsibility for this senseless disaster.  My wife and I picked this game to go to and thus caused the return of the pre-season-projected Sox offense.  Like all no-no's Bosio was good, lucky (hard grounder by Vaughn off T. Martinez' glove but straight to Boone who  threw to Bosio at first, 3-4-1), and backed by good defense (many non-trivial groundouts).  The game was amazingly fast, as the Sox tended to go down quickly and Hesketh was also  working fast.  The Sox relief pitching was ok -- the runs off Quantrill were on two ridiculous bloops and a hard line single which Greenwell let get past him trying for a catch.  Greenwell's mental stability is a serious concern (I guess it has always been, but his quirks were amusing back when he was an MVP candidate).  Wednesday he got in a huff with Johnson a after striking out on a bad inside pitch (apparently Johnson made an ""ok, I've got to stay focused"" gesture which Iron Mike interpreted as taunting), and struck out to heavy booing the  next two times.  As Valentine noted, last night",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
 Did you watch the games????  ,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"   In Shreveport, back when I was riding the Purple Water Buffalo, I jumped an  intersection IN FRONT OF A COP who was waiting for the light!  The side of  the street he was on was hidden buy a building on the corner and I didn't  see him till I was airborne in the middle of the intersection.  I was  parked, had my helment off and my liscence out before he turned the corner.   He chewed my ass out and let me go!  I will be the first to admit it was a  very squidly thing to do, jumping the intersection like that.  The cop  should have nailed me.  I find that if you are polite, respectfull and  honest, they will normaly let you get away with a LOT of stuff.  P.S. The shock mounts folded up the next day.  I guess I deserved that!   ----===== DoD #8177 = Technician(Dr. Speed) .NOT. Student =====----",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"So this year you had a game on SCNY, a game on SCA, a game on ESPN, and if the Rangers hadn't crashed and burned, you would have had a game on MSG.  What are you complaining about?  I seem to recall last year everyone complaining about SC coverage.  I even remember Orioles' games being shown in the DC area instead of hockey.  And what about when SC failed to show the conclusion of other games because its feature game was over?  Sound familiar?  This year I'm getting twice the coverage.  I can see all the Caps games *plus* the games ESPN shows.  I think it's great that hockey is back on ESPN.  IMHO, they're doing a great job especially considering the baseball contract they have to work around.  --",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"Do the Isles have another defenseman to insert into the line-up besides Pilon??? Once again, last night's STUPID penalty put the Isles in a hole for the remainder of regulation and 2 minutes into overtime!!! Even though the Isles nearly survived Pilon's blunder in regulation, it was the most inopportune time for a 5-minute major penalty. Instead of confronting Cote as he came across the blueline, Pilon backed up and swiped at Cote's nose with his stick. Al Arbour can't be serious to think Pilon is the guy to have out there with the game on the line??? I heard Scott LaChance is out till later in the series, but there must be someone else!!! Bring back the BAMMER, Dave Langevin!!!!  *******************************LETS GO ISLANDERS********************************  John Scialdone SCIALDONE@NSSDCA.GSFC.NASA.GOV",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"Is there a way to wax out a dull finish (minor scrathes)?  While ""passngering"" on my fiance's Bandit, my hip-pack rubbed against the tail and left a nasty dull finish and teeny scratches. Is there a way to get rid of these?  Buff them out?  Wax them out? help!",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
 Not everyone should be trusted with tools. ;-)  ,7,rec.autos,2023-10-14 18:59:16.722480,yes
 ,8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"  Hey!  What's this?  We agree!  No platoon advantage (Sabo vs. Samuel).  Both players have a reputation of being excellent fastball hitters,  and both have a reputation of being fooled too often with  slow curves and change ups.  Sabo has more power, and a little bit of a better batting eye.  Samuel  is noted as an agressive free-swinger.  Sabo has more homerun power.  Both players started the game hitting below .200.    There may have been some game considerations that might have prompted  Perez to want to reserve Samuel for use later.  But the game  *was* on the line, and Samuel never did get in.  Given all of this, I don't see a lot to suggest pinch-hitting, nor do I see anything to suggest no pinch-hitting.  There is, of course, the clutch-hitting information.  But if that's useless...  Then again.  If it's not...    ",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
 I can vouch for this method in my 1990 SHO.  This is the only sure way of  putting in the reverse without any problem _every_ time.,7,rec.autos,2023-10-14 18:59:16.722480,yes
"  Major League Baseball is trying to expand its appeal to people with shorter attention spans (i.e. the football crowd). (-:  Invariably, all the arguments from people who don't like to watch baseball on T.V. say the same thing:  the games are too long and too boring.  Baseball is trying to find a way to shorten the games for wider T.V. appeal.  If you look at it, though, baseball games last around the same amount of time as football games.  The difference is that there is ""more action"" in that duration in football games.  Perhaps if there were ""more action"" in baseball games, you would get more of those fans to tune in.  Anyway, coming up with a solution to make baseball more appealing to a bigger crowd is going to be difficult. [On soapbox] Yet another reason to get a commisioner NOW since it's obvious that ruling baseball by comittee works about as fast as a snail race in Nebraska. [Off soapbox]  -Steve",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
bosox-request@world.std.com to mail to the list: bosox@world.std.com,9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
How about changing team names! Post your choices!  Here I'll start: How about the  Baltimore Baseblazers San Francisco Quakes,9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"Having had my car die on me(engine fire, insurance agent said it was probably totaled), I am in the market for a another vehicle. I saw a Toronado that was within my expected price range and was wondering if anybody could relate their experiences with me.  Namely:  1.  Does it have accceptable power(it has a 305 in it)?   2.  Does its being front wheel drive make maintenance difficult?   3.  One power window and the power seat do not work, are these   expensive items to replace if I do the work myself?   4.  How long do the engines usually last( 90M+ now)?   5.  Any other experiences good or bad, and opinions.",7,rec.autos,2023-10-14 18:59:16.722480,yes
" So you really see no problem with banning them from places to which you don't want to go?   Talk to somebody in the insurance industry, particularly after a few drinks.  Then talk to my mom (no booze required).  :^)   Ever heard of the DoD?   :^)    Nah, you just became complacent that so long as your little quarter acre is safe, you get your little tax deduction, and no act of the government intrudes, in too direct and obvious a way, into your little day to day life, you just don't give a shit. ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
What about including points?  Probably no goals (at least against opponents) but there have been several assists given. ,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
" On the other hand, I'm hard pressed to think of any other real mistakes Fereirra made.  Imagine indeed, but then again we have the benefit of hindsight.  Let's say that in the view of the Sharks' upper management, the attempt to trade Kisio was a major factor in the decision to fire Feirerra. I'm inclined to take exactly the opposite view:  they should have kept him...he's obviously the luckiest man in hockey!  (Wonder what sacrifice he made to the Muse of Fax?  (His job, I guess.))  have fun gak ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"  I am sure some bashers of Pens fans are pretty confused about the lack of any kind of posts about the recent Pens massacre of the Devils. Actually, I am  bit puzzled too and a bit relieved. However, I am going to put an end to non-PIttsburghers' relief with a bit of praise for the Pens. Man, they are killing those Devils worse than I thought. Jagr just showed you why he is much better than his regular season stats. He is also a lot fo fun to watch in the playoffs. Bowman should let JAgr have a lot of fun in the next couple of games since the Pens are going to beat the pulp out of Jersey anyway. I was very disappointed not to see the Islanders lose the final regular season game.          PENS RULE!!!  ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"On Tuesday, when it was raining in Chicago, ESPN provided  bonus hockey coverage.  Now it seems as though some fans are ticked off that the NY-Wash OT was replaced with the Angels-?? game.  People must realize that there are more baseball fans instead of hockey fans in the U.S   The baseball game was scheduled to air and advertisers money was paid so they can't skip the baseball game.  Why don't you people CHILL OUT and enjoy whatever coverage you can get.",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"  Sorry to be contradictory, but... I've had my Nighthawk at 45 degress with the horizon and I wasn't banked over in a turn...    The hard part is getting the front in off the ground.  I rev to about  7,000 at DROP the clutch.   Even harder is keeping it from coming up to far-- I use the back brake as well as the throttle.  Once its up, it'll wheelie just like any other bike.      ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
 Too easy.  When you are dragging your pegs while driving in a  straight line.  Actually I've driven in 50 mph side winds with just a little difficulty.,8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"  Can you say ""*expensive*"" ? ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"Old Nick (the little devil!) wibbles:- % % Tsk, tsk, tsk.  Another newbie bites the dust, eh?  They'll learn. %    Newbie?  Eh?  Slap yer' credentials  on the table, Pete.  That'll  show    him!  % % I'm terribly sorry. %    And so you damned well should  be...  young whipper-snapper!  It's  wet    kippers at ten paces if there's any repeat of this sort of thing!     Now, in keeping with the  grand tradition of wreck.moto, let's  mutate!    Take your partners by the hand...     On Tuesday morning I spent a couple of hours (when I -should- have been    working) with a  torch, brazing bits  of scrap metal  over the  biggest    holes in  Yamadog's exhaust  pipes (s'mazin'  what you  can do  with  a    couple of AA  cells and a  three-volt bulb!).   I stuck some  ""gun-gum""    into the smaller holes and bunged the",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
  Many cars sold here in Finland are *small* and *cheap* cars (at least when compared to other cars --- note that we have over 120 % car tax).  And you couldn't expect a good auto mated to a 1.3 L engine?,7,rec.autos,2023-10-14 18:59:16.722480,yes
" I read that GM wants to keep the Design part of Lotus but lose the car production. And, I seem to remember, that the main problem with the Elan was caused by GM's insistence that the Elan be re-designed (significantly) for the US market which caused major design & production headaches.    Quite true - brain fade on my part. ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"I guess that nobody noticed that the calls during the world series (and, in fact all year) have been pretty much consistently CORRECT.  Remember: the rule says it's a strike if ANY PART of the ball passes through the strike zone.  I would certainly agree that  high strikes are not called (who could argue this point?) but all in all I think in and out is called pretty well. ",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
" Ah well, another Brian Sutter team is ground into the dirt with intensity during the regular season and then is burned out by playoff time. Yah Fuhr has been awesome so far, but really you'd think Sutter would have learned his lesson about pushing his team too far during the regular season.",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
   What the hell are U talking about? ESPN showed Pens/Devils game as advertised.   BUt the morons at ESPN should know that Pens will kick Devils ass and the   game will be boring. I'd rather see Boston/Buffalo game which seems to be   an exciting series since noone had expected Buffalo to get past the first   round.     Well let's hope they change their mind on THU's game and show some other   game. The Pens series is really getting boring. I want to see some    exciting game no matter who wins. If NHL wants a major network contract   then they better put some brains in ESPN people.      ,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"I came across this interesting information in my local public library while   researching minivans.  It is the dealer price and the retail price for a   minivan I am thinking about purchasing.  Someone told me that the number for   base price was slightly lower than the current price, but this should still   give you some idea about pricing and how much you can negotiate.   Mercury Villager GS                           Dealer     Retail Base Price                $14688     16504 Air Conditioning             729       857 Rear Defroster               143       168 Calif. Emissions              87     ",7,rec.autos,2023-10-14 18:59:16.722480,yes
Any one with experience in having a centreforce clutch (or any other) on his/her car? I'm considering to replace my old stock clutch on my 90 CRX Si. What is a fair price?,7,rec.autos,2023-10-14 18:59:16.722480,yes
" OK, here is my try:              Lukko, Finland      (look at the colors of his mask)                                 ex-JyPHT, Finland, now in Germany      Excellent defenseman       HIFK, Finland              Tappara, Finland       HPK, Finland       Jokerit, Finland               HPK, Finland              JyPHT, Finland, no new contract      JyPHT owns his player rights  All of these Czechs (Kadlec, Dolezal not anymore) are very good hockey players. It is a big surprise that Hlinka selected Dolezal.  ""Dole"" had a bad season in JyPHT and that's why they didn't make a new contract.",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
" You don't mention your riding area.  If you're in the Eastern part of Ontario Canada, I may be able to help.  I love 1 day runs and more.  More info needed.",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"+>[My problem] turned out to be a screw unscrewed inside my Mikuni HS40  +>carb.  I keep hearing that one should keep all of the screws +>tight on a bike, but I never thought that I had to do that +>on the screws inside of a carb.  At least it was roadside +>fixable and I was on my way in hardly any time. + +Gee, I always figured that it was the loose screws on/in the _rider_ +that were most likely to cause any problems.  Did you check for that +at the same time?  That is very true.  However, screws have been loose on this rider for quite some time, so they had been taken into account. ____________________________________________________________________________   Russian Roulette is fun 5 out of 6 times",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
B B  ,7,rec.autos,2023-10-14 18:59:16.722480,yes
"I heard a story on the local sports news broadcast in Edmonton. Oiler owner Peter Pocklington will be holding a press conference next week. While the exact details are not known, it is believed to concern the Oiler's future.  Rumour has it that Pocklington signed a tentative lease arrangement with Copps Collesium in Hamilton. During the press conference, Pocklington may announce the deal. It is quite possible that the deal may simply be a way to force Edmonton Northlands to renegotiate the Oiler lease on the stadium.  Northlands has offered to buy the Oilers for $65 million earlier, but the offer was rejected immediately by Pocklington.",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
 Yeah... I think that the Flames and the Flyers traded Captains once... Mel   Bridgeman for Brad Marsh.,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
" This must vary from state to state, because our old company Kemper wanted to drop me (keeping my wife) or tripple our premium because i had 1 ticket. Only 2 points for 10 mph over speed limit.  Well i called Geico, and they insured both my wife and i for less then we were previously paying Kemper.  Generally i hate the whole insurance game. I realize that it is necessary but the way that a person can get dicked around doesn't make any sense.  One good thing about Geico is that everything can be handled over the phone.                                                      .                                            ",7,rec.autos,2023-10-14 18:59:16.722480,yes
Nothing wrong with what Felix did.  The only problem was that he didn't Dino  hard enough.  Next time Felix aim for the ankles!!!!!!!!!!,10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"-> The current 4.9l V-8 will soldier on for about two years.  A version -> of the 32 valve modular V-8 in the Mark VIII could be offered then.  How unfortunate for anyone who loves the simplicity with which 302 and 351 Fords and 305 and 350 Chevys can be built up. Still, it will provide a needed punch for the Ford to stay up with the new Firebird/Camaros. It wouldn't surprise me if Ford called the engine a 5.0 litre in the Mustang. (We all know that the current 5.0 is really 4.9 litres anyway)  -> Undisguised, the car looks OK, but not nearly as exciting as the new -> Camaro/Firebird, IMO.  I must agree. I don't think I've seen anything as impressive looking as the new Firebird since my friend back home sold his 1970 Formula 400 Firebird (for a paltry $2000, without even telling me. The bastard.)",7,rec.autos,2023-10-14 18:59:16.722480,yes
"Again I assume this is not just flame bait by Roger, but actually a truly held opinion.     Thanks.  For speaking for all those who didn't feel it was important enough to say something themselves.    I wouldn't say that the letter clearly implies representation of the views of a group that you belong to.  It represents a subset (that you don't belong to) of a larger group (which you do, if only because this isn't a moderated group).  Look, there are several ways to state an opposing viewpoint.  Three that come to mind are as follows:  1) Say it subtly.  Result: it may not be clear. 2) Say it directly yet politely.  Result: probably it will spark some     interesting conversation. 3) Say it directly and obnoxiously.  Result: validity goes right out    the window.   You realize that anything you say can, and most certainly will, be used against you. ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"          Good question!  I kind of wondered about this myself.  Just one thought I had on it  -  the Babe himself was IN ""Pride of the Yankees"", which made me think  a) that version may be closer to the truth, and  b) the Babe must have been a pretty good gut to be in the movie even though some of the scenes didn't make him look completely flattering. ",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"  Heh, someone mentioned Tommy Soderstrom (Flyers) for the besk mask poll too (in the mentioned below part).  All he has is a plain white helmet with a big cage. I found this pretty amusing.       -John Santore  Philadelphia Flyers in '93-'94!  =============================================================================  ____________________                                 /                    \                   ""We break the surface tension  \_________     ____   \                   with our wild kinetic dreams"" /             /    \   \                ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"My 85 Caprice Classic with 120K+ miles has finally reached the threshold of total number of mechanical problems that I am forced to post :).  Anyone out there who might be able to give me some pointers on one or more of the below, please e-mail or post!  1. When making turns, especially when accelerating,    there is usually a loud ""thunk"" from the rear of    of the car.  Sounds like it could be the differential.    What could cause this?  Is the differential going    bad?  I recently had the differential fluid changed,    and it DID have tiny metal bits in it.  (And no,    the sound is NOT something rolling around in the    trunk!)    2. On starting the car, I get blue (oil) smoke from    the exhaust for 5-10 seconds.  Exhaust valves    going bad?  Worn rings?  Anyone know whether the    valves on the 4.3 TBI engine can be lapped?  3. Brakes.  More pedal travel than I feel comfortable",7,rec.autos,2023-10-14 18:59:16.722480,yes
  Well know I know how you can afford a Harley. ,8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
" Feeding frenzy!!!  Ah, 'tis April in rec.moto and the newbies are bitin'!  Catch all you want, we'll make more!",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
" This is a tricky situation; if the previous owner didn't inform the dealer of the odometer change, then the previous owner committed fraud, and he may be liable. The dealer may also be liable; If the previous owner notified the dealer, or if the previous owner had the  dash replaced at a dealer, or if the previous owner had the dash changed  legally, any records search on the car should turn up the fact that the odometer had been altered.  If a dealer changes the speedometer, he has to report it (it goes into the car's service record with the manufacturer, and on the title, if I remember correctly; the dealer told me that the old mileage, etc. were sent to Ford when my T-Bird's speedo  was replaced). If the odometer can be set to the old mileage, it must  be; if it can't (eg, electrically-driven odometers) then the mileage  of the old odometer must be written on a permanent sticker which is  affixed to the door frame of the vehicle.   Either way, if the change had been done legally, then a records search (which the dealer almost certainly did)",7,rec.autos,2023-10-14 18:59:16.722480,yes
"  ^^^  ^^^^ ^^^^ ^^^^^^ ^^^ ^^^^^^^ ^^ ^^^ ^^^^^ Me thinks thee dost protest too much....  1/2 :-)  He made no allegations, and specifically gave the seller the benefit of the doubt.  He simply made the net aware of the fact that many of these seats are stolen, so watch out and ask questions when buying.  That's good advice to follow when buying _anything_ from a third party, on the net or elsewhere. Touchy, touchy...",7,rec.autos,2023-10-14 18:59:16.722480,yes
"Just a side note, squid/octopi made their way to the ice in Buffalo. I still don't understand why Buffalo, but maybe it's lucky.  :-)  btw, they shovel them up from the ice here, using the shovel used to scoop up the snow the zamboni leaves as it leaves the ice.  Although Blue did give some technical directions on its removal, motioning with his stick.     ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
"  [stuff about Ron Gant incident deleted]    I agree that Hirschbeck was just doing what he was instructed to do and also that Gant should have listened to him.  However, what is with this policy of trying to speed up the games.  You are the first person  ( non-mediot ) I have seen endorse this policy.  I have no problem with the length of games at all and am tired of the ESPN crowd ( and other announcers ) bitching about it.  I have never been in a ballpark filled with people looking at their watches and shouting ""Hurry up!""  If I cough up big bucks for a  ticket, I don't mind a game that last more than 2:10.  I really don't understand it.     Games are longer now for several reasons:  more pitching changes, more basestealing ( and throws to first ), etc...I think a very small factor is the increased time it takes Jose Canseco/ Deion Sanders/ [insert fancy showboat ballplayer here] to arrange their jewelry prior to stepping in the batter's box.  My impression is that sportcasters and writers have",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"  OK. I know I look pretty desperate on this bboard. I think I have posted 3 or 4 messages already on the issue of NHL telecats over the last few weeks. But, hey. I am pretty desperate. What I am interested is not just a sportsbar with multiple screens so thast I can watch the game on one of those silent screens. Are there any hockey oriented bars in this area. Or does some Patrick division or Adams division fan have a satellite dish? I don't mind paying an admission fee, if necessary. ",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
The best one I saw last year was Willie McGee off Matthews (I think?) in Phillie.  A fierce line drive that was still rising when it hit thE second deck facade at the Vet.  Willie McGee had one homerun last year.  ,9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"  If a manual transmission is a ""must have"", then the M-B 300TE is not in the running.  You cannot get a manual transmission in that car in North America.  It seems that buyers here (or, maybe more accurately, the distributors) are not interested in manual trannies.  The '93 300 line comes with a 217 hp engine.  All earlier years are 177 hp. I have an '87 300E, with a ""mere"" 177 hp and auto tranny, and I find that it has sufficient power for any normal driving situation.  More is always nice, but I can't complain.  I test drove a Saab 900 CSE last fall.  Here are my impressions:  1) Awesome power, especially over 3500rpm, when the turbo really comes on. 2) If you get on the power really hard in a tight corner, the front-wheel    drive causes it to understeer heavily, and then viciously ""hook"" into    the corner.  Not a desirable handling trait, but common in powerful    front drive cars.  (The CSE is 200hp.  Mercedes is rear-drive, so it    does not have this problem.)",7,rec.autos,2023-10-14 18:59:16.722480,yes
