level_0,text,target,title,date
737," This is almost certainly a MacBinary file which is an encoded version of a mac file so the Resource fork and Data fork get preserved. You need a program that converts this to a regular file. If this is a macbinary file, you may have downloaded it in Text mode and is probably corrupt (if you did). If you're using FTP to transfer it at any point make sure you type ""binary"" first.  If you can open the file with a text editor and find (This file must be converted with Bin.... at the top, it is a BinHex file and can be decoded with BinHex 4.0 (among other programs). ",1,comp.graphics,2023-10-14 18:59:16.722480
738,"that his positive.   Clint Malarchuk     What has happened to him since?   Assigned to San Diego Gulls at the being of the season I believe    What  It was Uwe Krupp and a Blues player, though Uwe's skate I beleive cut   Clint.  He has since be traded to the Isles in the LaFontaine deal.    Has this ever  This is the only time I know of.   ",10,rec.sport.hockey,2023-10-14 18:59:16.722480
739,"In the course of discussing the Sabbath with some folks,  I came across something that was completely new to me,  and I thought I'd offer it for comment.  To keep this as brief as possible, let me state my  observation as a declarative statement, and then whoever  wants to can comment on it.  Basically, what I think  I've observed is that the phrase ""the Ten Commandments"",  as used by Moses, is not a reference to Ex. 20:1-17, but  rather a reference to ten distinct discourses from Ex.  20:1 through Ex. 31:18.  That is, the phrase ""the Ten  Commandments"" should more accurately be translated ""the  Ten Discourses"", of which the passage we call the ""Ten  Commandments"" is really only the first.  I'm not completely convinced that the above is true, but  for purposes of discussion, let me argue it as though I  was sure.  Arguments supporting the above idea:  1)  There aren't really ten commandments in Ex. 20:1-17.   In order to get 10 commandments, you have to get two of  them out of verses 3-6, and the verses",15,soc.religion.christian,2023-10-14 18:59:16.722480
740,"For all those people flaming John Bradley, the author of xv - he's on vacation till May 10 (or 15, I don't remember). Maybe we all should slow down and wait to hear his side wrt copyrights, fees, etc.",5,comp.windows.x,2023-10-14 18:59:16.722480
741,"  That would be nice, but considering professional diplomats between Israel and Athe Arabs have been unable to do so for 45 years, I can't see us starting. But hey - as soon as anyone wants to discuss things reasonably and in a  scholarly manner, count me in.  Anyway the responses were mostly negative and I've been  People have very strong opinions and you need to be careful regarding what  you say - if you say, make it factual and be able to back it up.   Thanks for teaching us about the civilized world, Andi.  I guess we all just  came out either the desert or the ghetto, right?  And no, we are not paid Israeli lobbyists nor are we conspirators of the ZOG - we are just people who believe in our cause and find offense when people imply some sort dirty dealing or disloyalty due to our love of Israel (disguised as ""paid Israeli lobbyists"" - what kind of image is that?)    Oh!  Thank you!  I needed your approval of my heritage.  I guess I can go home and feel good now",17,talk.politics.mideast,2023-10-14 18:59:16.722480
727, ,8,rec.motorcycles,2023-10-14 18:59:16.722480
742,"I can (and do) take religious writings as a metaphor for life. I do this with all sorts of fiction, from Beowolf to Deep Space Nine. The idea is to not limit yourself to one book, screen out the good  stuff from what you read, and to remember that it is all just a story.   You sound Buddist to me :^)",0,alt.atheism,2023-10-14 18:59:16.722480
744, Please see the post I made yesterday (May 10) which fixes the problem. This was posted to comp.windows.x.apps. ,5,comp.windows.x,2023-10-14 18:59:16.722480
745,"  This is true, but it's not quite the whole story.  There were   actually some people who were more careful in their methodology  who also replicated the 'phantom leaf effect.'      One of the most influential critics of Kirlian Electrophotography     is a Theosophist (and threfore presumably willing to entertain the     hypothesis of scientific evidence for a human aura, electromagnetic     or otherwise), professor of electrical engineering at London's     City University, and a past president of the Society for Psychic Research      named A. J. Ellison.      After years of studying the method and the claims, Ellison     came to the conclusion that the photographic images are what we     calls 'Lichtenberg Figures,' an effect of intermittent ionization of     the air around the object.  It's a bit more complicated than     'not wiping off the plates,' but it comes down to the same thing     in the end, Kirlian electrophotography has much",13,sci.med,2023-10-14 18:59:16.722480
746,"  is this the KX-P1124 you're talking about?  or is there a KX-1124, too? I'll assume you just forgot the P....   this light is also the power light.....  on (not blinking) just means that the power is turned on.  if you look at the panel, it should read        POWER       ---------       PAPER OUT  right?   don't know why it would do this, unless you're out of paper, that is.   when you power up the printer, assuming it does have paper, the red power light (which, when flashing, doubles as paper out) should light, and a few seconds later, the green ONLINE light should come on.  hope this helps.....    --jim  -- #include <std_disclaimer.h>                                 73 DE N5IAL (/4) ------------------------------------------------------------------------------ INTERNET: jim@n5ial.mythical.com  |  j.graham@ieee.org     ICBM: 30.23N 86.32W AMATEUR RADIO: n5ial@w4zbb (Ft. Walton",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
747,"Hi!  We have an old Montage FR-1 35mm film recorder. When connected to a PC with its processor card it can directly take HPGL, Targa and Lasergraphics Language files. 24 bit Targa is quite OK for raster images, but conversion from  whatever one happens to have can be quite slow. This Lasergraphics Language seems to be (got the source file for one test image) a vector-based language that can handle one million colors. It does some polygons too, and perhaps something else ?  The question is, where can I find some information about this language ? A FTP site, a book, a company address,.... ?  (OK, it would be nice to have a Windows driver for it, but I'm not THAT optimistic...)  Thanks in advance for any help!   jussi  ",1,comp.graphics,2023-10-14 18:59:16.722480
748,"Maybe you had accidentally sealed in some water?  I cleaned my chain thoroughly, took it on a short ride to dry it off and heat it up a bit, and the paraffin sank deep into the rollers and formed a good seal on the outside.  No rust, but then again I live in Tucson!",8,rec.motorcycles,2023-10-14 18:59:16.722480
749,"This is not flame, or abuse, nor do I want to start another thread (this is, after all, supposed to be about IMAGE PROCESSING).",13,sci.med,2023-10-14 18:59:16.722480
750," Dear Elias,   I counted at least 4 such answers in public (plus whatever private email replies you may have received), yet you refuse to accept anything.  Perhaps you are better off in the private world of the ""Center for Policy Research"" in Iceland where you can define ""sensible"" in whatever way makes you feel most comfortable. ",17,talk.politics.mideast,2023-10-14 18:59:16.722480
751,This is just a test to see if this works.  ,12,sci.electronics,2023-10-14 18:59:16.722480
752," Curiously enough, this subject has occupied a good bit of my prayer life recently.  God's experience of time is so completely different from our own, since He is both within and without it.  Using words like ""foreknowledge"" and ""predestination"" are semantically incorrect when it comes to describing God's perception of our action, because, for God, the beginning, living, and ending of our lives are all the same.  Sort of.  For God, there is no ""before"" when He did not know, so he could not have ""foreknowledge"" of our lives or a time when he could have ""predestined"" our actions.  In fact, since our understanding of things is so tied to our linear experience of time, I would say that it is impossible for us to understand completely how our free will interacts with God's control of the universe.",15,soc.religion.christian,2023-10-14 18:59:16.722480
753," I saw a printed up flyer that stated the person was a ""licensed herbologist and iridologist"" What are your opinions? How much can you tell about a person's health by looking into their eyes? ",13,sci.med,2023-10-14 18:59:16.722480
754," At all times in human history, people have killed and stolen from one another.  If you can find an example of where this hasn't happened in history, then you have discovered a new phenomenon in nature.  It is pointless asking whether people ""should"" do this; they DO do this.  It has just evolved that way.  Humans have evolved to have this characteristivc.  You can debate whether this should be particular matter should be left up to the individual or not, but it is the nature of humans to kill and steal from others and you will not find a single counterexample (of a society without these types) in nature. ----------------------------------------------------------------------- Please find a better argument than that's the way it has always been. Child mortality has always been, yet we find it in our hearts to have made an attempt to change that.  ",18,talk.politics.misc,2023-10-14 18:59:16.722480
755,"Hi! I recently got hold of an old/obsolete PC. First thing I am trying to do with it, is making it work. Seems the switches in the back have been toggled since last it was used, and I do not have the manual. Can anybody help me to identify this beast, and mail me the prober switch-settings? All I know is that is is a Bondwell 38, made in 1986, most likely a 286, can be toggled between 4.77 and 8 mHz, and looks like no changes have been made. Any information would be appreciated.  --  Terje Johansen at Trondheim College of Engineering, Norway.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
756,"      Was it just me, or did it look like Hirschbeck pointed to the 3B umpire before calling that strike?  I thought that's why Gant was asking for the appeal to the 1st base umpire; he thought Hirschbeck had gotten checked-swing help from the wrong umpire.   After Hirschbeck called for the pitch, but before the pitch was thrown, Cox came onto the field.  It was obvious that he was trying to get time called before the pitch, but no one was watching.     Your listing pretty much agreed with what I saw, with the aforementioned addendums.  Perhaps it appeared differently at the ballpark.  Personally, I was amazed that Gant didn't get ejected.  But that's why Cox did; it's called protecting your players.  And to those people who would have thrown everyone out of the game, all I can say is that you'd be making baseball history.  Even in the worst baseball brawls, usually only the major instigators are ejected, not everyone who comes onto the field.  And I'd have to  say that those brawls are considerably more threatening to the game",9,rec.sport.baseball,2023-10-14 18:59:16.722480
757,    It sure did!   I have; and all the above teach me that accurately perceiving reality  is a tricky business -- _not_ that there's no reality.  -- Mark Pundurs,19,talk.religion.misc,2023-10-14 18:59:16.722480
743,"hello,  for 2 months I've unsuccessfully attempted to get either a 3rd or 4th serial port working on my system.  various systems diagnostics (e.g., MSD, Norton) tell me it's there, but anything I hook up to it can't use it  I have two serial ports on the motherboard  if I set my internal FAX/modem for com4 the utility programs report a COM3  I've checked to make sure all the IRQs and addresses are correctly (as listed in most manuals) set  am I missing something very basic?  where should I go from here?  any help, even a point in the right direction, would be most appreciated.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
726,Two meg. sim that came from a PB100 for sale.  I am asking $60 (postage included).  If you are interested please e-mail me via internet.  If you do not have internet availability you may contact me at 301/468-0241. ,4,comp.sys.mac.hardware,2023-10-14 18:59:16.722480
725,"In some sense, I think that the folks who think the idea is wonderful, and the folks who want to boycott anyone who has anything to do with this project are both right.  That is, I think that space advertising is an interesting idea, and if someone wants to try it out, more power to them. However, a company may discover that the cost of launch is not the only cost of advertising, and a company who  gauged that ill will would lose them more revenue than the advertising would gain might decide to bow out of the project.  I got incensed when I read that Carl Sagan called this idea an ""abomination.""  I don't think that word means what he thinks it does. Children starving in the richest country in the world is an abomination; an ad agency is at worst just in poor taste.",14,sci.space,2023-10-14 18:59:16.722480
724,"...   I'm in Japan. (Michael, could you give me more info about where Akita is: nearest city would be good)  If I find it, I'll get pictures and post a digitised version if enough people are interested. ",15,soc.religion.christian,2023-10-14 18:59:16.722480
693,"[obnoxious name-calling deleted]   Ok, who wants rm off of here? I say we get his net privleges revoked.  Any seconds? ",10,rec.sport.hockey,2023-10-14 18:59:16.722480
694,I need to make a power supply that can take input from a  cigarette lighter in a car (12v dc) and drive 7.5 volts at up to 3.0 amps. I know enough to know that a simple voltage divider with two resistors won't do it right. Can such a thing be made from Radio-Shack-able parts without too much difficulty?  jps bf  p.s. I've looked for premade things like this at radio shack but none of it seems to go any higher than about 800mA.  ,12,sci.electronics,2023-10-14 18:59:16.722480
695,"day.   Recently, I completed a 2 week juice fast (with 3 days of water) and had two colonics as part of it.  My motivation was primarily spiritual, to de-toxify from all the crap I've been putting in my body (not like thats enough to clean it all out but it did have an effect).  Personaly, I didn't find it an uncomfortable experience (the colonic), lost about 15lbs of beer belly (which hasn't come back over the last month), and feel great.  One of the things that prompted me to get the colonic was seeing my 90 year old grandmother chair ridden from colitis (?) from years of indulgence.  Not everything that goes in comes out, and personaly I don't mind giving my body a hand once in a while.  Just my experience,  George Paap",13,sci.med,2023-10-14 18:59:16.722480
696,"    Is it possible through either pin configuration or through software    programming to change the IP numbers on an ethernet card?  The Ethernet card doesn't use the IP number (32-bits, usually #.#.#.#); it uses the Ethernet address (48-bits, usually #:#:#:#:#:#). I have never run across an Ethernet controller that cannot be programmed to use an address that is not assigned to it. DECNET requires this feature.  However, that said, there is no reason to ever change the Ethernet address.  They are globally unique, the first three bytes being assigned to the manufacturer by the IEEE, and the last three by the manufacturer.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
697,"  Attention Penguins fans once again, apparently 99.999% of you understand that this was just a joke (Hence the :-) next to it) but one idiot on here doesn't as he got pissed at me and sent me two hate e-mails telling me that this is wrong.  I have no intentions of sending e-mail to anyone should the Pens win tonight, and I really do not expect/do not intend to lead any of you to send this poster e-mail either.  It was NOT a serious request.  If you didn't know that (which you probably did) then don't do it.  Thanks.",10,rec.sport.hockey,2023-10-14 18:59:16.722480
698,"I am going to stop reading the homosexuality posts, at least for a   while, because of the repeated seemingly personal attacks on me via   post/e-mail(mainly e-mail).  If anyone has a specific comment,   suggestion, and/or note that does not contain any name calling, etc.   that they would like for me to read, send it to me via e-mail.  I   would like a copy of file mentioned by the moderator ragarding the   exergetical issue of it.  I attempted to get it via ftp but was   unable.",15,soc.religion.christian,2023-10-14 18:59:16.722480
699," I've had similar problems w/ other board types, and the problem is NOT a result of the 8/24GC board! Try Zapping the PRAM by holding down ""Command-Option-P-R"" durring startup! You will have to reset everything to your previous preferences (The Date & Time remain intact!), but the Video Board will start remembering it's previous settings!",4,comp.sys.mac.hardware,2023-10-14 18:59:16.722480
700,"When I was a school boy, my biology teacher told us of an incident in which a couple were very passionate without actually having sexual intercourse.  Somehow the girl became pregnent as sperm cells made their way to her through the clothes via persperation.  Was my biology teacher misinforming us, or do such incidents actually occur?",13,sci.med,2023-10-14 18:59:16.722480
701," [bible verses ag./ used ag. homosexuality deleted]   also check out the episcopal church -- although by no means all episcopalians are sympathetic to homosexual men and women, there certainly is a fairly large percentage (in my experience) who are.  i am good friends with an episcopalian minister who is ordained and living in a monogamous homosexual relationship.  this in no way diminishes his ability to minister -- in fact he has a very significant ministry with the gay and lesbian association of his community, as well as a very significant aids ministry.  my uncle is gay and when i found this out i had a good long think about what the bible has to say about this and what i feel God thinks about this.  obviously my conclusions may be wrong; nonetheless they are my own and they feel right to me.  i believe that the one important thing that those who wrote the old and new testament passages cited above did NOT know was that there is scientific evidence to support that homosexuality is at least partly _inherent_ rather than completely learned.  this means that to a certain extent --",15,soc.religion.christian,2023-10-14 18:59:16.722480
702,": But waiiiiiit, isn't Nissan officially registering the car as far as : government paperwork goes, Nissan Stanza Altima, to avoid costly and : lengthy paperwork? I read this on the net a while ago, and someone : actually may have said there's a little Stanza logo on the Altima : somewhere.  I just bought an Altima (and like it very much) and yes there is a little Stanza logo ever so discretely placed on the trunk. The Altima is emblazoned in big silver letters, but the itsy-bitsy Stanza is shunted to the far left of the trunk lid. You can only see it if you get up close to the car and know where to look. It is very inconspicuous.  In fact my first clue that this was a Stanza was that the owners manual called the car a Nissan Stanza Altima.  Anybody know *why* Nissan did it this way?",7,rec.autos,2023-10-14 18:59:16.722480
703,"For sale, or trade some combination for 286-16 motherboard or 2400 v.42bis  Monochrome monitor, pretty generic, for IBM.  8088 motherboard, 7 Mhz, built in monochrome and color support, built in serial and parallel ports.  Stick it in a robot, use it to make a cheap terminal, whatever.  5.25"" internal Low density disk drive.  1200 baud external modem, practical peripherals.  Make me an offer.  oR suggest a trade for whatever you have.     Libertarian, atheist, semi-anarchal Techno-Rat.",6,misc.forsale,2023-10-14 18:59:16.722480
704,"A student told me today that she has been diagnosed with kidney stones, a cyst on one kidney, and a kidney infection.  She was upset because her condition had been misdiagnosed since last fall, and she has been ill all this time.  During her most recent doctor's appointment at her parents' HMO clinic, she said that about FORTY! x-rays were made of her kidney. When she asked why so many x-rays were being made, she was told by a technician that they need to see the area from different views, but she says that about five x-rays were made from EACH angle.  She couldn't help feeling that something must be wrong with the procedure or something.  She is a pre-med student and feels she could have understood what was happening if someone would have explained.  When nobody would, she got worried.  Also, she is told that thre are 300! surgery patients ahead of her and that they cannot do surgery until August or so.  It is now April... She is supposed to rest a lot and drink fluids.  But she has to go to classes.  She wonders why they have given",13,sci.med,2023-10-14 18:59:16.722480
705,"Hi all, Of late my computer's Power supply fan has begun to make a lot of noise. What can I do about this? If I had to get new power supply, or get a new case, where is a good place selling good tower cases and PS. I know there are a  couple dozen listed in the Computer Shopper, but I was looking for personal  experiences and recommendations.  --  Divya",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
706,"I am looking at getting a laptop for work and I was trying to decide between the Toshibas and Gateway's Nomad.  The price is about the same,  but the Gateway has significantly better performance (200MB vs. 120MB  hard drive, 50Mhz 486DX2 vs.  25Mhz 486SL) and much cheaper accessories  (extra batteries, modem...)  The concern I have about Gateway is the durability and reliability. Does anyone out there have any experience with the Gateway Nomad?  Thanks,",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
707,"I have the following software for sale, prices are neogotiable,  MS-Window 3.1, by Gateway, with manuals, $20 MS-Work with manuals, $30 PC-TOOLS 7.1 with all manuals, $40 MS-DOS 6.0! $20  All softwares are almost new",6,misc.forsale,2023-10-14 18:59:16.722480
708," No.   No. The library at Alexandria was perhaps the greatest library ever built in the world. The Greeks had a love of wisdom, philo sophos, and this great love was reflected in the Alexandrian library. The Christians  got a hold of it and began modifying and purging texts and then the Moslems  invaded and either the Christians burned the library to keep it from falling  into Moslems hands (far more likely since they were the book burners, not the  Moslems), or it burned in the sack of the city or the Moslems burned it.  Either way, a tremendous amount of information was lost. The destruction of the library of Alexandria was probably one of the greatest crimes of man against man.   Actually, the Hebrew almah, (young woman), was translated as the Hellenistic  Greek parthenos which may or may not be correctly translated into the modern and technical English term virgin. The Jews did not have the type of virginity cult that the Greco-Romans had in Artemis and Diana.   The standard text used by Christians and Jews is the Masoretic Text. Jews of course use the text in",19,talk.religion.misc,2023-10-14 18:59:16.722480
709,"I ordered an external floppy drive from them 2 years ago.  When I placed the order, they said it was in stock and would ship the next day.  A week passed and no drive.  I called them up and they said they were out of stock and my drive should ship in 2 weeks or so.  Since I needed the drive right away (both my internal hard drive and floppy were dead) I cancelled my order and haven't dealt with them since.",4,comp.sys.mac.hardware,2023-10-14 18:59:16.722480
723," : When Elizabeth greeted Mary, Elizabeth said something to the effect that : Mary, out of all women, was blessed.  If so, it appears that this : exactly places Mary beyond the sanctification of normal humanity.  The phrase is ""eulogemene su en gunaixin""- ""blessed are you among women."" There is nothing to indicate that this is an exceptional or unique status, only that _as a woman_ Mary was blessed.  Adding the word ""all"" is not a fair reading of the text.  There are some good reasons for the church's veneration of Mary, but they cannot depend on this verse.",15,soc.religion.christian,2023-10-14 18:59:16.722480
722,"  True.   No more risk than smaller stashes unless the stash is somehow confined so the heat from early ignitions could somehow bulk-heat the remainder.  Two  years ago this month my house and office burned.  In my office was my reloading bench.  On the top shelf next to the wooden ceiling was  about 100 lbs of smokeless powder, 5 lbs of black powder, several thousand primers and a couple thousand loaded rounds, primarily in .45ACP, .30-20 and .308.  The fire was extinguished before the area containing the  reloading supplies were fully involved.  There was about 1/2"" of char on the joists, subsequently removed by sandblasting.  Lots of heat in other words.  None of the powder kegs ignited.  One 1lb can of pistol powder ignited. No explosion, as the can opened at the seam as it was designed to do. The black powder cans were charred and got so hot the plastic lids completely melted and ran down inside.  The smokless powder was contained mostly in 8 lb cardboard or metal kegs.  The kegs were charred badly enough that the paper labels burned completely off",16,talk.politics.guns,2023-10-14 18:59:16.722480
721,"  Are the boards at all intelligent?  (I.e., run by microcontrollers?)  The easiest thing would be to have another line that says that one of the boards is talking to the PC.  When this line was true, the other boards could all hold off and not send their data.  This isn't a perfect solution, though, since you have to worry a little about making sure two boards don't decide to talk at the _exact same time_.  Other than that, I think you will need to hook up each board to ""something"" that speaks RS-232.  This actually isn't as hard (or as expensive!) as it used to be, though.  Assuming the boards talk relatively slowly (9600 BPS or slower), the PICs can coordinate things between themselves to multiplex the data.  (This is really just forbicly adding the suggestion in the first paragraph to your system.  And it assumes that each board doesn't talk more than 1/8th of the time, of for very long, since a PIC isn't going to be able to buffer more than, maybe 20-some bytes!)  You might want to check into the prices of multi-serial card for",12,sci.electronics,2023-10-14 18:59:16.722480
720,"----------------------   LightWave3D Mail-List   ----------------------  -- WHAT IS LightWave? --  LightWave3D is part of a suite of programs that come bundled with a device called the ""Toaster"" (from NewTek, Inc.) that operates on an Amiga platform.  The LightWave software (LightWave=LightWave3D and LightWave Modeler) allows and artist to create three dimensional photo-realistic images for a variety of purposes.  -- WHY ARE WE DOING THIS? --  This mailing list is for those interested in the LightWave software, how it operates and in ideas on how to obtain the best quality images available to them.  The list is for those who own the Toaster and LightWave as well as those just interested in what can be done with the package.  We hope to share information, tips, procedures and to bond as a group.  -- WHAT ARE THE RULES? --  Since LightWave/Modeler are just a part of the Newtek Video Toaster software, I'm sure we will discuss a few items related to the operation of the Toaster.  However, we will strive to keep the subject revolving specifically around the 3D software, related tools and products.  You do NOT have to",1,comp.graphics,2023-10-14 18:59:16.722480
719,"  Look, I don't want to bore everybody here with the physics of woodstoves, but they're not anything like your Caloric gas range.  It takes about three hours for a woodstove to get hot enough to cook on, and afterwards  you can't just ""shut it off"" -- it will contain hot embers for over 24  hours even after you choke it COMPLETELY.  So it ain't exactly ""light up the stove and cook me a batch of them  pancakes, Aunt J...""  If you use a woodstove for cooking, or even for heating your house at night, you will have it lit to SOME extent all  the time.  Trust me on this one, I speak from experience. -- ",16,talk.politics.guns,2023-10-14 18:59:16.722480
718,"  I would expect the EISA board to be more than twice as fast as the ISA board.  Not only are you moving data on a path twice as wide (at least), but there is a difference in the number of clocks required for bus transactions between the two busses.  Most ISA boards require multiple clocks per bus transaction -- typically this is around 3-4. EISA boards are suppose to be able to 'burst' at a 1:1 rate, so I would expect performance to be 6x-8x that of an ISA card.    So I guess, for me, the question is unanswered still.  I would expect him to be able to see a 6x speed difference, and he apparently does not.    --  ""Insisting on perfect safety is for people who don't have the balls to live  in the real world.""   -- Mary Shafer, NASA Ames Dryden",2,comp.os.ms-windows.misc,2023-10-14 18:59:16.722480
758,"WANTED:  I have to produce a ""Rolling Demonstration"" of some X Window/Motif software. Does anybody know if there is some Public Domain software to record/playback X Window events or similar ?  Thanks in advance ...  Paul Bamborough bamboroughp@logica.co.uk",5,comp.windows.x,2023-10-14 18:59:16.722480
717," Ron, you are absolutely right.  Not all kidney stones have calcium and not  all calcium stones are calcium-oxalate.  But the vast majority are calcium- oxalate.  Calcium is just one piece of the puzzle.  I cited that NEJM article  as a way of pointing out to some of the physicians in this group that  conventional wisdom is used in medicine, always has been and probably  always will be.  If one uses conventional wisdom, there is a chance that  you will be wrong.  As long as the error is not going to cause a lot of  damage, what's the big deal(why call a physician who gives anti-fungals to  sinus suffers or GI distress patients a quack?).  On the kidney stone problem.  I'd want a mineral profile run in a clinical  chemistry lab.  Balance is much more important than the dietary intake of  calcium.  I know that you use an electrical conductance technique to  measure mineral balance in the body.  I know that you don't think that the  serum levels for minerals are very useful(I agree).  If I can",13,sci.med,2023-10-14 18:59:16.722480
715,"As the title says. I would like to sell my Star LV2010 9 pin printer. Its a narrow colum dot matrix, supports both parallel and serial interfacing, prints at 200 characters per second, has a 16K buffer,  and is very dependable...  Drop some mail if your interested in it. $55 Plus shipping get the printer, and 6 extra srink-wraped ribbons, parallel connection cable, power cord, manual, and ONE sheet of paper (smile)...",6,misc.forsale,2023-10-14 18:59:16.722480
714, ordered 2 fork seals and 2 guide bushings from CA for my FZR.  two weeks later get 2 fork seals and 1 guide bushing.  call CA and ask for remaining *guide* bushing and order 2 *slide* bushings (explain on the phone which bushings are which; the guy seemed to understand).  two weeks later get 2 guide bushings.  *sigh*  how much you wanna bet that once i get ALL the parts and take the fork apart that some parts won't fit?,8,rec.motorcycles,2023-10-14 18:59:16.722480
